ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_T,AGE_AGGREGATE_YGE65,2004,92.9,B,,I11:264,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_M,AGE_AGGREGATE_TOTAL,2004,70.5,B,,I11:264,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_M,AGE_AGGREGATE_Y15-24,2004,83.9,B,,I11:264,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_M,AGE_AGGREGATE_Y25-54,2004,65.9,B,,I11:264,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_M,AGE_AGGREGATE_Y55-64,2004,74.9,B,,I11:264,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_M,AGE_AGGREGATE_YGE65,2004,88.8,B,,I11:264,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_F,AGE_AGGREGATE_TOTAL,2004,89,B,,I11:264,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_F,AGE_AGGREGATE_Y15-24,2004,94.3,B,,I11:264,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_F,AGE_AGGREGATE_Y25-54,2004,86.9,B,,I11:264,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_F,AGE_AGGREGATE_Y55-64,2004,93.4,B,,I11:264,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_F,AGE_AGGREGATE_YGE65,2004,98.5,B,,I11:264,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_YGE15,2011,84.3,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_Y15-24,2011,95.2,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_YGE25,2011,80.7,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_M,AGE_YTHADULT_YGE15,2011,77.2,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_M,AGE_YTHADULT_Y15-24,2011,94.5,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_M,AGE_YTHADULT_YGE25,2011,71.5,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_F,AGE_YTHADULT_YGE15,2011,91.3,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_F,AGE_YTHADULT_Y15-24,2011,95.8,,,,R1:3513
